Date,pro1,pro2,pro3,pro4,lumbini,Karnali,Supa,Antigen,Total,sum,cum,pro1,,,pro2,,,pro3,,,pro4,,,pro5,,,pro6,,,pro7,,,,P1,P2,P3,P4,P5,P6,P7,,Active(Nepal),AP1,AP2,AP3,AP4,AP5,AP6,AP7,,St,S1,S2,S3,S4,S5,S6,S7,,kathamandu,Lalitpur,bhaktapur,Valley,,Aktm,Alalitpur,Abhaktapur,Avalley,,Stktm,Stlalit,Stbhaktapur,,IHHS,Ratio
3/14/2021,3,0,27,16,5,1,1,0,53,53,53,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,,3,0,27,16,5,1,1,,,,,,,,,,,,,,,,,,,,19,2,1,22,,,,,,,,,,,#VALUE!,
3/15/2021,6,0,46,15,10,1,1,0,79,79,132,,,,,,,,,,,,,,,,,,,,,,,6,0,46,15,10,1,1,,,,,,,,,,,,,,,,,,,,27,10,4,41,,,,,,,,,,,0,#DIV/0!
3/16/2021,5,0,62,32,12,3,0,0,114,114,246,,,,,,,,,,,,,,,,,,,,,,,5,0,62,32,12,3,0,,,,,,,,,,,,,,,,,,,,34,7,2,43,,,,,,,,,,,0,#DIV/0!
3/17/2021,5,4,62,11,10,0,2,0,94,94,340,,,,,,,,,,,,,,,,,,,,,,,5,4,62,11,10,0,2,,,,,,,,,,,,,,,,,,,,29,13,11,53,,,,,,,,,,,0,#DIV/0!
3/18/2021,10,7,66,18,5,0,1,0,107,107,447,,,,,,,,,,,,,,,,,,,,,,,10,7,66,18,5,0,1,,,,,,,,,,,,,,,,,,,,44,8,7,59,,,,,,,,,,,0,#DIV/0!
3/19/2021,7,4,51,54,6,1,2,0,125,125,572,,,,,,,,,,,,,,,,,,,,,,,7,4,51,54,6,1,2,,,,,,,,,,,,,,,,,,,,30,5,10,45,,,,,,,,,,,0,#DIV/0!
3/20/2021,1,0,62,6,9,0,1,0,79,79,651,,,,,,,,,,,,,,,,,,,,,,,1,0,62,6,9,0,1,,,,,,,,,,,,,,,,,,,,42,15,1,58,,,,,,,,,,,0,#DIV/0!
3/21/2021,2,4,44,21,6,0,0,0,77,77,728,,,,,,,,,,,,,,,,,,,,,,,2,4,44,21,6,0,0,,,,,,,,,,,,,,,,,,,,34,5,2,41,,,,,,,,,,,0,#DIV/0!
3/22/2021,4,10,96,17,22,0,1,0,150,150,878,,,,,,,,,,,,,,,,,,,,,,,4,10,96,17,22,0,1,,,,,,,,,,,,,,,,,,,,51,22,11,84,,,,,,,,,,,0,#DIV/0!
3/23/2021,9,2,103,61,10,1,2,0,188,188,1066,,,,,,,,,,,,,,,,,,,,,,,9,2,103,61,10,1,2,,,,,,,,,,,,,,,,,,,,76,16,5,97,,,,,,,,,,,0,#DIV/0!
